,baseMean,log2FoldChange,pvalue,padj,gene_name,present in APEX-RNCseq lyso?,present in APEX-RNCseq cyto?,present in FULL APEX-RNCseq lyso,present in FULL APEX-RNC cyto list,present in p300,present in Psig,present in Fsig
ENSG00000131653.13,280.4071953,1.397390174,1.20E-27,2.26E-26,TRAF7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000089234.16,347.9048225,1.39632558,3.77E-24,6.49E-23,BRAP,#N/A,yes,#N/A,yes,#N/A,yes,yes
ENSG00000155115.7,220.8982637,1.395951445,1.46E-18,2.11E-17,GTF3C6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000089682.16,258.7947383,1.395371386,2.45E-20,3.74E-19,RBM41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000126804.13,593.9067341,1.395168246,9.84E-32,2.05E-30,ZBTB1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000180747.15,76.55182935,1.39364393,2.07E-11,2.24E-10,SMG1P3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000140153.17,298.6191458,1.393469172,2.45E-29,4.80E-28,WDR20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000153827.13,2014.990396,1.392459147,7.23E-29,1.40E-27,TRIP12,#N/A,#N/A,#N/A,#N/A,yes,#N/A,yes
ENSG00000250284.3,159.9550044,1.392386609,1.26E-15,1.64E-14,AC109439.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000002746.15,880.0969175,1.391939801,2.44E-32,5.17E-31,HECW1,#N/A,yes,#N/A,yes,#N/A,yes,yes
ENSG00000234742.1,15.83920719,1.391793563,0.000239119,0.00140966,AC144530.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000189319.14,215.8043138,1.391258183,3.86E-14,4.76E-13,FAM53B,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000095380.11,223.434382,1.391085604,2.13E-22,3.46E-21,NANS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000243124.3,8.811047266,1.3909287,0.004679357,0.020046983,RN7SL643P,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000163466.16,742.9890924,1.389986061,1.91E-50,5.93E-49,ARPC2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000067798.16,2038.159726,1.389959902,2.36E-43,6.34E-42,NAV3,#N/A,#N/A,#N/A,#N/A,yes,yes,yes
ENSG00000157741.15,1386.641207,1.389164744,4.08E-28,7.80E-27,UBN2,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000131023.13,989.8725226,1.38857343,1.31E-21,2.08E-20,LATS1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000126016.15,67.15829114,1.388135489,9.79E-13,1.14E-11,AMOT,#N/A,#N/A,#N/A,yes,#N/A,yes,yes
ENSG00000228495.2,30.78405517,1.388057694,1.39E-06,1.10E-05,LINC01013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000009694.13,213.2549752,1.387910879,2.07E-21,3.26E-20,TENM1,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000065559.15,1310.375769,1.387673356,4.11E-43,1.10E-41,MAP2K4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000144736.14,148.1340809,1.387052203,1.42E-21,2.25E-20,SHQ1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000064419.13,858.2808317,1.386287837,1.14E-32,2.43E-31,TNPO3,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000130816.16,891.6492286,1.385410111,1.80E-23,3.03E-22,DNMT1,#N/A,yes,#N/A,yes,#N/A,#N/A,yes
ENSG00000149089.13,104.1600237,1.384819543,5.07E-17,6.97E-16,APIP,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000243710.7,73.13077886,1.384628963,1.71E-12,1.97E-11,CFAP57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000238923.1,8.373728851,1.384470636,0.006928482,0.027917007,RNU7-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000147471.12,321.4865608,1.382739122,3.51E-23,5.88E-22,PLPBP,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000160194.18,574.6057436,1.381975737,8.16E-31,1.66E-29,NDUFV3,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000102317.18,469.9483454,1.381788764,4.54E-26,8.18E-25,RBM3,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000147174.11,106.850288,1.381713818,5.40E-14,6.63E-13,GCNA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000115297.11,12.42955899,1.38153178,0.000809069,0.004272944,TLX2,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
