PG.ProteinGroups,300_24
Q96RS0,-4.13842630957067
Q9ULU4,-7.73167604601962
Q9NRZ5,-8.30442055708854
Q8TBN0,-12.5533219638864
Q96DH6,-8.42572416879223
Q8WYP3,-2.22592377963573
Q9Y2Q5,-6.68663014148199
Q9H777,-7.92349425473723
Q99608,-3.68328030907483
O60422,-3.11865361388035
P49674,-8.46341233256907
Q9UBK9,-6.86838042032618
Q6ZN55,-5.88064260684471
Q29RF7,-5.77610776832815
Q24JP5,-7.15611056976841
Q5TKA1,-2.9187107930895
P18615,-7.76131673033736
Q9H0M0,-2.84092810912791
Q96PB7,-3.75005271361476
O75431,-6.053614170118
Q92784,-7.14935819321214
O43581,-4.48185111020471
Q8NB37,-6.36318951606575
Q7Z739,-6.69743200788048
Q96ST2,-6.65252329736014
Q9BYG5,-2.26675448026185
Q9BSF8,-5.8101694813573
Q9Y657,-1.56161739406883
Q96ED9,-0.609458468985939
Q8IWZ3,-7.93201631592092
Q9UJT0,-2.62471004796873
Q9H3P7,-6.75280195149573
Q96G01,-2.2862231928258
Q8WYQ9,-1.18600335073393
O94916,-2.76604174798002
Q86XS8,-3.93955274659087
P45983,-6.54533295887263
Q9H2J4,-4.66269159299511
Q8N5Y2,-4.9574455868023
Q9NW61,0.363566761033883
Q53HC9,-2.68167353923421
P02794,-4.70487397252964
Q5HYJ3,-12.6205528801391
Q9Y3A3,-7.85912522456842
O95602,-6.92005036444158
P51452,-8.24200337115344
P17655,-9.4627375782249
Q13177,-7.91254884027191
Q14195,-8.90956751138729
Q8IXK0,-23.2534966642115
O43823,-4.49760864932134
O95168,-3.08452516874347
P54652,-2.76091540600679
Q8N5F7,-12.6984168375217
Q969T7,-7.38546465790922
P51571,-6.74532406203778
Q9UBB9,-5.54460783272011
P15822,-2.82951734794753
Q96PZ0,-6.97736545418401
Q8TB52,-4.06045093581208
P26599,-8.17634198913552
Q00688,-8.22353865528985
Q6P1R4,-4.35996303050324
A0AVF1,-14.0914589992197
Q13480,-5.43906421745443
Q8NCE2,-15.7633982847217
Q96LT4,-5.33521330131024
Q9NZ63,-4.45800836067774
P35626,-5.82890727000314
Q9ULG1,-4.70947247617781
Q9UNP9,-8.00009455412353
Q8N4N3,-5.7076457185027
Q92618,-6.02277311881325
O43920,-7.66591433719466
Q9H8H0,-8.53030328413591
Q9Y6K8,-3.6371643194334
O14910,-2.04124291444899
O43809,-7.08440064473329
O43505,-7.54463091899642
Q9H8M7,-8.12552622900549
Q9UNA0,-2.92814320336147
Q9Y5E9,-11.107965877996
P16949,-6.99873604764056
Q9H4A3,-6.24939098479248
P26374,-4.87619880929446
Q76B58,-6.93219718100404
O94905,-5.48104609818048
A6NK58,-14.2821946836095
Q8WTW4,-1.40814474128074
Q8ND83,-5.54110609332623
O15164,-4.23640579288629
O14782,-2.87273519419253
Q9BZC7,-2.85634698822508
Q8IUR7,-6.44824834511731
Q4J6C6,-8.41784558256126
Q9Y287,-3.2727942588895
Q9Y6Q9,-2.74558343896224
Q5J8M3,-2.48831790409372
O75368,-6.60007487536335
O94992,-5.93933106581141
Q92734,-5.25671633983398
O60503,-5.18707108569553
P30414,-12.7637070409625
Q9NTM9,-8.96594482057542
Q6UWY0,-2.08349181394119
Q16629,-4.69304126708919
Q9H1K6,-11.5410404241554
Q8WUH1,-4.71064361451733
Q16538,-23.2534966642115
Q9H6T3,-7.93815711975523
Q96M27,-6.82515960293313
Q3MHD2,-8.65169728873021
O75385,-11.0581895971519
Q96AB3,-15.7248412909231
Q495W5,1.71498691487303
Q8N2K0,-7.49909059747197
O96001,-2.49391665974351
O75157,-1.99513365538427
P52788,-8.28013871736244
Q9Y5R2,-6.55977381918546
A2AJT9,-13.9263472699342
Q9Y484,-4.19983437533257
A8MXV4,-6.26771335124062
O60934,-11.4414027279573
Q9NXN4,-6.66191058422031
Q9NWZ5,-7.44900150937107
P53671,-6.65619677501057
Q7L523,-11.4130243611409
O95232,-8.5667994534283
O43295,-7.71454531919947
Q9Y320,-4.38274448433683
Q8N2K1,-3.56510517626282
P13995,-7.1473301117504
Q8WUM0,-13.2052877645337
Q2KHT3,-4.17589561658544
Q5VTB9,-4.74319650163058
Q8TBP0,-0.514432438418861
Q9HCJ2,-1.11151531379382
P22413,2.47901145327433
Q9NVI7,-6.49757184553621
O43347,-8.7753393864799
Q00013,-2.4928630704413
P78324,-1.72084792653937
P62280,-4.32681347531163
Q8TC12,-7.58377776297432
P08574,-3.88646999198199
P09543,-8.18852807288544
Q00973,-2.44595846402234
Q14849,-11.6249463285419
O96028,-4.86491093776931
Q9UPR5,-6.66942636618552
Q8NFU7,0.0861481874637914
Q9H9Y2,-7.4104912271337
Q86XZ4,-5.22461725482138
Q9UBU8,-6.16940786423632
Q9NR31,-4.27081060394308
Q9HCE1,-6.30458947832197
P40855,-4.06436509213132
Q9NZV5,-6.07808532438464
P51523,-1.50096245668695
Q8WZ74,-4.13389925994336
Q5VSG8,-3.76657128970463
Q9Y6M1,-11.3359547785822
Q6RFH5,-6.76679184161254
Q8WZA0,-5.29262980037404
P48380,-2.87559288128342
L0R819,-3.001704984627
P46013,3.62134249381062
Q96J42,-5.74356280856511
Q8N0U8,-8.86899681488754
P51692,-3.95207500062648
Q9BRK4,-3.5438186696875
Q9GZM8,-5.46491771816081
Q9Y2T2,-8.24118572173053
Q8N5C8,-13.4555021946003
Q96BT7,-3.66959936297839
Q9H1V8,-3.89586012033593
Q9P0U3,-3.6734097181082
Q8N9I9,-8.01642842799615
Q9P270,-8.14413275945138
Q08828,-23.2534966642115
Q9UNP4,-3.84705303821733
P82650,-8.80274764775531
Q96EZ8,-3.39682813919507
Q96KM6,-7.36953726508328
Q14651,-2.84387792821187
O75716,-20.416597248646
P13611,-1.52301037415917
Q86X02,-3.55039970854965
