PG.Genes,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
GRIN2D,-1.335789202,-1.510957372,-1.330382287
FASN,-7.062624637,-6.566138345,-6.520156941
MPG,-4.013827951,-3.483294993,-3.797419215
DCAF13,-2.757217007,-2.860680564,-3.063249488
RPS6KB1,-3.546701889,-3.887773243,-3.823518205
CHGB,-2.792462808,-2.218243788,-2.460289041
LRRC14,-4.290116346,-3.782710951,-4.151675025
TUBB,-8.601611541,-8.509470058,-8.147346397
TRIP12,-4.456796433,-4.460013796,-4.983714982
CWF19L2,-2.971790189,-3.46361077,-3.414252525
USP33,-2.792189016,-2.459860921,-2.787485209
MID1,-6.387650933,-5.815363049,-5.92810562
SH3GLB2,-5.83518981,-5.820352986,-6.356506837
GATAD1,-4.801330391,-4.512732719,-4.226433846
DDX17,-5.680939315,-6.132208333,-5.555581681
TNIK,-2.607291222,-3.033433859,-2.738422888
PWWP2A,-4.914538892,-5.335089609,-5.072148574
RSBN1,-3.292636808,-3.269317743,-3.148374958
FBXW11,-2.830152213,-2.572778835,-3.161496504
PTRH1,-3.356567514,-3.868228775,-3.430070708
SARAF,-1.314494355,-1.100781722,-0.748503742
SLC12A2,-3.424107862,-3.230836123,-2.996442643
PCDH1,-3.687362672,-3.323035116,-3.836176562
ACTL6B,-4.752705682,-5.21367942,-4.652891306
TTC9B,-3.365840377,-3.506784692,-3.897386917
AP2A1,-8.624727126,-8.028684597,-8.168337702
BACH2,-2.646515624,-3.081464572,-3.153309464
PHACTR1,-5.364209214,-5.838886147,-5.755494815
RAB8A,-3.896212562,-4.50239269,-4.139720031
DCPS,-10.03653938,-9.47999977,-9.50759585
ARMCX1,-2.222914788,-2.281498336,-2.803062275
PCYOX1,-6.23262685,-5.719460163,-6.18771494
ZNF318,-2.892055929,-3.14045167,-3.50441962
GFRA2,-3.309134938,-2.841325806,-3.362279405
PLXNA4,-11.41638759,-11.70067434,-11.27456608
TMEM132E,-3.565849143,-2.982307221,-3.232405475
CCSER1,0.282224663,-0.017306962,0.361838448
LSS,-5.178662222,-5.791179907,-5.455609619
RAP1GAP2,-3.980644526,-4.530970096,-4.411876584
PUM1,-3.930089535,-3.590606919,-4.1810986
RAB7A,-7.097198063,-7.153365297,-7.685695802
SLC35E2B,-0.3874181,-0.727729381,-0.648670544
PPP6C,-4.164094972,-3.609719296,-3.622435959
ERP29,-4.940148953,-5.508855167,-4.925079713
FAM3C,-3.153977956,-2.564501572,-2.956223416
GATD1,-3.024095613,-2.68731051,-3.167872527
NUDT16,-3.753893377,-4.190290097,-4.325354025
MGAT2,-1.926414571,-2.121393277,-1.825116399
NT5DC2,-4.137272151,-4.739037349,-4.198173471
LONRF2,-3.58176896,-3.713474185,-4.046959619
ACP1,-4.757604342,-4.727755983,-4.364393303
TSEN34,-2.143895393,-2.705232594,-2.137645396
FAM207A,-3.230208793,-3.414316673,-2.836771783
MRPL22,-6.924437715,-6.859778578,-6.379892258
ERG28,-5.348899628,-4.785359045,-4.74037903
KDM5B,-2.383796182,-2.757245798,-2.99782319
SHC3,-2.967636865,-3.254980354,-3.498387207
MINDY3,-3.904603453,-4.546638677,-4.068408124
PTPRA,-3.111342156,-3.026529871,-3.651703516
AP3M2,-4.895232812,-4.27704656,-4.339126583
PABPC4,-8.97481947,-8.346634787,-8.566031144
NACC1,-4.386507471,-3.949479446,-3.73810461
ULBP3,-3.358936784,-3.785992577,-3.910365178
NME7,-4.719045837,-5.234229339,-4.601529181
CEP170B,-2.637340187,-2.815050345,-2.438422143
MIEF2,-2.955183028,-2.749860267,-2.347538268
CAMSAP1,-4.483471055,-3.940873998,-3.847636473
GNPDA1,-6.253350254,-5.61012855,-5.921980782
IGF2BP1,-10.48410305,-10.57854102,-10.07420653
WBP2,-7.57692073,-7.668771214,-7.298150597
SENP3,-3.868242793,-3.240157002,-3.522450828
ARIH1,-3.551672456,-3.733624744,-3.124717506
TERF2IP,-5.306506951,-5.152588271,-4.707092732
SCARB2,-5.1048652,-4.684952736,-5.300134146
MAP1B,-9.466356067,-8.878192915,-8.84598644
HPCAL1,-4.920933758,-4.287460286,-4.374615286
GOLGA1,-2.263585974,-2.233350401,-2.146623572
SCN9A,-3.626582703,-4.070230742,-3.956180151
TRIM46,-4.625945967,-4.770952882,-4.170614657
RBM7,-4.07261253,-3.909330668,-3.912281387
KDM4C,-2.590392296,-2.568633997,-2.847568349
SPEN,-4.029375156,-3.449872029,-3.386996157
LPCAT1,-5.452836533,-4.801768043,-4.903275834
LINGO1,-4.512578388,-4.991123452,-4.318663476
GTF2H4,-6.577666212,-5.91434692,-6.171929651
HECA,-4.694926954,-4.544283566,-4.089344994
PPP1CC,-4.157968799,-4.171696387,-4.783349764
PFDN2,-5.322889777,-5.99290397,-5.478038178
ZMIZ1,-2.586071924,-2.699374124,-2.212215847
ENC1,-4.224692806,-4.886170626,-4.322587955
CHGA,-5.010935885,-5.21487671,-5.692408443
CALCOCO1,-4.163897435,-3.804308605,-4.399711221
USP27X,-4.012965098,-4.353047197,-4.248702378
TMEM151B,-4.198061273,-4.445630977,-3.795786224
PDCD4,-4.95695124,-5.154478838,-4.520976684
ZFYVE9,-2.566327486,-3.160196937,-3.0658146
ZMYM3,-4.598003897,-4.01444928,-3.936956484
LASP1,-10.6613991,-10.81527801,-10.52558469
PI4K2A,-5.401799661,-5.046975188,-5.715511071
UBE3C,-4.792349588,-4.520800278,-5.21255628
AP3B1,-4.664839011,-5.05821824,-4.612173831
KCTD1,-2.215889752,-2.332417026,-2.599961479
POLDIP2,-4.502364841,-3.80858998,-4.066480429
LRRC49,-4.188043724,-3.66494866,-4.164984012
ATM,-11.18264167,-11.36352604,-11.51387563
PSD,-1.60650771,-2.143153767,-1.685379043
CAB39,-4.204287682,-4.407678328,-4.889882268
GRN,-0.338389697,-0.522037798,-0.39606178
U2SURP,-3.755616827,-3.978445034,-4.459050734
C7orf50,-5.960513747,-5.961569629,-6.61464842
RNPC3,-4.869240946,-4.756321218,-5.239358341
GHITM,-5.897598577,-6.507349306,-5.825508046
FBXO38,-3.716268655,-3.619491162,-3.103769754
GADD45GIP1,-4.819905429,-4.882476404,-5.502750609
TBC1D12,-0.607283605,-0.630179428,-0.419202086
MADD,-11.89885187,-12.05718889,-12.22613051
ACTR6,-2.657036262,-3.16263226,-3.111060145
CTPS2,-5.148262374,-5.301230465,-5.852501404
CNPY2,-4.785660595,-5.479964828,-4.874247724
SAR1A,-2.89836967,-3.317708583,-2.96160211
RPRD1A,-3.04469485,-3.679273097,-2.994094403
CELSR3,-4.338270358,-4.957317732,-4.270505763
SLC4A1AP,-3.115653762,-3.540216478,-3.596961088
CS,-7.674893588,-8.346038039,-7.695433936
LAMTOR2,-3.577398019,-3.892521891,-4.252494564
GPC2,-4.742862302,-4.85110967,-4.22469703
ZNF579,-5.662447822,-5.384727905,-5.221693549
RTN1,-6.098167128,-5.420146129,-5.860955005
VTI1B,-11.2718535,-10.88092319,-11.47319407
HNRNPU,-9.913199749,-9.194591536,-9.369306679
HSPA9,-8.578981756,-8.025171958,-8.630371023
RAI1,-4.941560867,-4.41438745,-5.034535601
NELFA,-3.988717529,-4.030544113,-3.426596648
CHST2,-9.795307944,-9.809579416,-10.25421744
SNTB2,-7.101461631,-6.612433283,-6.360577986
BAIAP3,-2.448915838,-2.889578405,-3.143571255
LRSAM1,-10.59438113,-9.949239309,-10.38171465
ADGRL3,-4.067794059,-3.322782539,-3.572061971
GALNT2,-3.427681812,-3.353152385,-3.042868835
HPCAL4,0.741590704,0.98710642,0.892884609
RPS6KA3,-3.515261985,-4.12667239,-3.385146534
RET,-3.683958673,-3.755422718,-3.124620432
PCDHAC2,-3.333694973,-2.954794284,-3.688380206
TALDO1,-9.725488609,-9.237312507,-9.093296871
DCAF7,-5.629283175,-6.069482012,-5.368964047
FAAP100,-4.530618647,-4.357124821,-4.144325892
DDX42,-3.938276952,-3.882970073,-4.583116837
TUBAL3,-5.329808483,-4.990539889,-5.739958113
GMIP,-3.928085977,-3.958051939,-3.935217243
TCP11L1,-4.099436404,-4.683113046,-3.917905219
CNOT2,-4.352561485,-4.18849485,-3.66891131
ARID1A,-4.992760123,-5.024163792,-4.398784132
SDK2,-5.49908977,-5.056877143,-5.783419907
TBC1D17,-5.165980383,-4.747155944,-4.414381881
IDS,-4.467825408,-4.847769868,-5.023729838
BCAR1,-2.53046092,-2.651255207,-3.287448246
UBR5,-4.084398217,-3.56750754,-4.189916371
ISYNA1,-4.522078443,-3.80302435,-4.279436939
PPP1R3F,-4.476202264,-5.240678692,-4.810954817
MTMR7,-2.987888458,-3.529037765,-3.534116947
NUDT3,-4.195886765,-4.853528516,-4.771257963
GPC1,-5.474985002,-4.690306273,-4.956562164
