PG.ProteinGroups,PG.Genes
O43639,NCK2
Q9NRF8,CTPS2
Q9Y664,KPTN
P55283,CDH4
Q9GZT9,EGLN1
Q5TF21,SOGA3
P19022,CDH2
O94813,SLIT2
Q8IYQ7,THNSL1
Q96CW5,TUBGCP3
O75914,PAK3
Q969T9,WBP2
Q9GZN7,ROGDI
Q12770,SCAP
Q13115,DUSP4
Q5SRE5,NUP188
Q8N9Z2,CCDC71L
P61916,NPC2
Q92759,GTF2H4
Q8IWF2,FOXRED2
O14508,SOCS2
Q969R8,ITFG2
P36873,PPP1CC
O75864,PPP1R37
Q9Y2T2,AP3M1
Q8TC26,TMEM163
P82650,MRPS22
Q07889,SOS1
Q08211,DHX9
O14787,TNPO2
Q9ULK0,GRID1
Q9P2D8,UNC79
Q9NQV5,PRDM11
P20594,NPR2
Q8IXH7,NELFCD
Q8N4Q0,ZADH2
Q8NEM7,SUPT20H
Q6ZT12,UBR3
P53367,ARFIP1
Q4V328,GRIPAP1
Q9HBU6,ETNK1
Q9Y3D9,MRPS23
P62136,PPP1CA
P36954,POLR2I
P82933,MRPS9
O00222,GRM8
O15085,ARHGEF11
Q9BY11,PACSIN1
P78316,NOP14
Q9H175,CSRNP2
O95486,SEC24A
Q8IUR7,ARMC8
O75179,ANKRD17
P26196,DDX6
Q96JK2,DCAF5
Q9UGI6,KCNN3
O43741,PRKAB2
Q96SB3,PPP1R9B
P07437,TUBB
Q6ZVM7,TOM1L2
Q9NV06,DCAF13
P22304,IDS
Q96KC8,DNAJC1
Q6P996,PDXDC1
Q8TBA6,GOLGA5
Q13002,GRIK2
Q8N6G5,CSGALNACT2
Q92614,MYO18A
O43155,FLRT2
Q7Z4K8,TRIM46
Q8NFG4,FLCN
Q9BY77,POLDIP3
Q16740,CLPP
O75037,KIF21B
O95834,EML2
Q15878,CACNA1E
Q13322,GRB10
Q9BZC1,CELF4
Q9NZZ3,CHMP5
Q9GZP4,PITHD1
Q9P286,PAK5
O95782,AP2A1
Q76KP1,B4GALNT4
O14733,MAP2K7
Q96P70,IPO9
Q9BWH6,RPAP1
P61966,AP1S1
Q14563,SEMA3A
P17858,PFKL
P60763,RAC3
O00750,PIK3C2B
O75051,PLXNA2
Q2TAY7,SMU1
Q8N608,DPP10
P08670,VIM
Q8IZ81,ELMOD2
Q9BW91,NUDT9
O75746,SLC25A12
P62760,VSNL1
Q9NRX4,PHPT1
Q08828,ADCY1
Q14202,ZMYM3
P10768,ESD
Q9UH99,SUN2
Q9NVT9,ARMC1
Q9C0B9,ZCCHC2
Q96S21,RAB40C
Q8N961,ABTB2
P35080,PFN2
Q16774,GUK1
Q9NRG7,SDR39U1
Q99873,PRMT1
O15068,MCF2L
Q5T0N5,FNBP1L
P27707,DCK
Q7Z3C6,ATG9A
Q9BRU9,UTP23
Q16706,MAN2A1
O95258,SLC25A14
Q9NR22,PRMT8
Q96KA5,CLPTM1L
P35232,PHB
Q9NZ63,C9orf78
P06241,FYN
O43432,EIF4G3
Q8N6H7,ARFGAP2
O75912,DGKI
P42694,HELZ
Q92581,SLC9A6
P98175,RBM10
O94876,TMCC1
Q6ZN04,MEX3B
Q9C0E8,LNPK
O76031,CLPX
Q9BYM8,RBCK1
Q9GZT4,SRR
Q504Y2,PKDCC
P20336,RAB3A
Q9UK59,DBR1
P30044,PRDX5
Q9NQZ5,STARD7
Q9P2G1,ANKIB1
Q96KG9,SCYL1
O15523,DDX3Y
O75347,TBCA
Q6UN15,FIP1L1
Q9P244,LRFN1
Q8N8L6,ARL10
Q9Y2G5,POFUT2
Q64LD2,WDR25
Q15120,PDK3
Q9Y371,SH3GLB1
Q96ME7,ZNF512
Q9H4I3,TRABD
P53680,AP2S1
Q96JQ0,DCHS1
Q9H553,ALG2
Q86TJ2,TADA2B
O60293,ZFC3H1
O95870,ABHD16A
Q9BQT9,CLSTN3
Q9BYI3,FAM126A
Q14974,KPNB1
Q96P11,NSUN5
Q96PY6,NEK1
P56377,AP1S2
Q9NT99,LRRC4B
O15164,TRIM24
O75369,FLNB
Q92993,KAT5
O95025,SEMA3D
Q8NCB2,CAMKV
P13647,KRT5
Q8IZ52,CHPF
P45954,ACADSB
Q93075,TATDN2
Q8NEY8,PPHLN1
Q5JPI3,C3orf38
P49903,SEPHS1
Q96T21,SECISBP2
Q9C0I3,CCSER1
P36894,BMPR1A
Q9NZ94,NLGN3
Q8N335,GPD1L
Q9BXR0,QTRT1
P62314,SNRPD1
P62826,RAN
Q15418,RPS6KA1
P21796,VDAC1
Q9ULJ7,ANKRD50
Q9P2K2,TXNDC16
P49411,TUFM
Q08495,DMTN
O75390,CS
O14939,PLD2
P39880,CUX1
Q9NRD5,PICK1
P58005,SESN3
Q13627,DYRK1A
O15258,RER1
Q969Q5,RAB24
P09001,MRPL3
Q96I59,NARS2
Q9Y4D8,HECTD4
Q13724,MOGS
P53794,SLC5A3
Q6VAB6,KSR2
Q9NS86,LANCL2
Q71RC2,LARP4
Q5TKA1,LIN9
Q9UQ35,SRRM2
Q6ZMI0,PPP1R21
Q7Z6J6,FRMD5
Q6TFL4,KLHL24
Q92845,KIFAP3
P12955,PEPD
Q6PCB5,RSBN1L
Q14687,GSE1
Q13454,TUSC3
Q9UKB1,FBXW11
P51693,APLP1
Q96II8,LRCH3
Q9BW71,HIRIP3
O94991,SLITRK5
Q14BN4,SLMAP
