PG.ProteinGroups,P150
O95861,-5.36673152792142
Q92925,-1.98673973560611
Q93073,-3.90286117019876
Q16512,-2.8876334943064
Q92890,-5.38083040915283
Q16401,-6.37385981809632
P10586,-3.69734710519683
P29083,-5.06897359705131
O60291,-4.88807047324362
Q6ZMI0,-6.08753490322071
Q96MZ0,-4.94534813327524
Q9C0D7,-3.49967225772408
O60477,-3.38226205499333
Q9HCJ6,-23.2534966642115
O43683,-4.92422329182737
Q86UW6,-3.81749231104234
Q96AP0,-4.12021428153682
P00966,-23.2534966642115
Q9BV35,-1.00669428596907
P0DPB6,-4.25706692965676
Q99504,-0.0723841575128526
Q12797,-3.29487291190287
Q7LBC6,-4.68292268806404
Q9NP90,-1.65338503909033
Q9UQF2,-2.99616269255031
P43681,-5.08451327507484
Q8IUL8,-3.98297532972036
Q9UNF0,-5.5729253060302
O60245,-3.4517354600623
A3KN83,-4.93916392366846
Q9Y5B9,-6.67601308411579
Q9Y5X2,-23.2534966642115
O43427,-5.46285628239345
Q96MX3,-3.48599189720431
Q96TA2,-7.86628909200359
O94880,-6.01496832158275
O94876,-2.49543007391806
Q04917,-8.38902430656483
O43164,-3.23278516584531
P42224,-4.32298995638505
Q7L014,-6.45116224156347
Q9Y5R8,1.69578775786437
Q2Y0W8,-5.78935828292787
Q96DZ1,-5.1225539123158
Q9H6K5,-5.35366477883051
Q13126,-5.73070295625204
Q6P6B7,-5.44874933010182
Q9BT40,-5.22353446627925
Q6R2W3,-3.14449523152354
Q13191,-4.29392305805239
Q5SYC1,-4.76553998420012
Q6P1M0,-5.36724808924224
Q9Y3A6,-4.23480678626779
O95502,-5.17340840815964
Q96JN8,-3.57551396810325
P11274,-5.19471209504379
Q92560,-3.26387143786815
Q9ULK0,-1.75070863971394
Q96JK2,-4.16329691519412
Q96AX9,-2.80424165857137
Q86VP1,-3.21580891218676
Q9NUS5,-4.31382612083932
Q64LD2,-5.04247856639471
Q5TCY1,-3.77062246734188
Q9BQ95,-5.03948427044168
Q13523,-4.74693580698731
Q9NZ56,-4.5858479031212
Q2NKJ3,-11.3913130668071
Q96E22,-2.6686424996963
Q9Y6X4,-6.99755284746497
