PG.ProteinGroups,P0,P50
Q86WN1,-6.08121613301127,-0.547519974143622
Q8N5J2,-13.4425600559981,-4.12770568051773
Q9H165,-14.5133322768817,-3.18139669535745
Q9NUQ8,-4.62408130272864,-11.41774695629
P0C870,-13.5051993450353,-5.04955974036147
Q8WU76,-23.2534966642115,-6.32030583508822
O95825,-3.52452482203589,0.0362067151526438
Q6IQ55,-23.2534966642115,-5.685700386265
Q96KQ7,-13.3752548277229,-3.77583406441666
Q86WJ1,-12.8936036981207,-5.29879945080913
P23743,-14.0886975283882,-3.25280330403622
Q9UID3,-13.6802720829396,-4.73287642945253
Q9BUJ2,-8.98809883477356,-7.88353911273843
Q5TEU4,-3.52090943175891,-2.90351839810362
O60583,-23.2534966642115,0.149945676814904
Q9Y6C9,-23.2534966642115,-7.01105576768498
P78352,-13.9456018088363,-4.8901256477648
Q9UHK6,-23.2534966642115,-5.74936321726173
Q9UN75,-23.2534966642115,-5.34451936383814
P78417,-11.1643786303536,-7.32384838993771
P60763,-23.2534966642115,-4.96208000550544
Q9P2E7,-19.7801371220375,-7.15668533309828
Q9NP77,-23.2534966642115,-4.33003373699718
P78332,-23.2534966642115,-7.3210100343393
Q9BRJ6,-23.2534966642115,-6.11395534192576
Q6UXD5,-8.26615441998733,-2.60431145922315
Q8NC60,-15.6151034327413,-3.40315411122296
Q7Z7E8,-7.26241948097109,-4.63471539325626
Q15173,-12.9787965055676,-6.11367406826599
Q8NDY3,-1.17724942886489,-13.0100341652746
P32297,-3.85331338284456,-14.1092824067904
Q9C040,-12.792440685429,-7.95115143374096
P18615,-10.8697915787857,-3.89805059591697
O43815,-13.7353598772861,-6.01804252259531
O14492,-23.2534966642115,-5.79670566878096
Q9H8M7,-23.2534966642115,-6.1621508221332
Q8NI60,-23.2534966642115,-4.90818876417087
Q9ULC3,-23.2534966642115,-5.18960103206356
Q96C03,-14.7684163081712,-3.50799902802145
Q9UJF2,-23.2534966642115,-4.25784378679228
Q9H999,-3.66597238427455,-0.749153821271501
P21912,-6.32942554616846,-23.2534966642115
Q96EC8,-3.46607913830616,-1.99237043968089
Q9UGL1,-14.327568649926,-5.22210057097009
Q9HCH0,-12.7255760962171,-4.61330014160252
Q9NQC8,-11.9972412215341,-3.15693274400588
Q9Y2X7,-13.1092059045308,-5.98362717246115
O75078,-23.2534966642115,-4.74991011351857
Q8IWU5,-11.1643374788702,-5.31359413644932
Q643R3,-23.2534966642115,-4.47006841376051
P82663,-23.2534966642115,-4.69850586927453
Q9NYY8,-12.792993860059,-6.06781837938154
Q86YD1,-14.348547049054,-6.11543888036699
Q86VP3,-9.31496694797773,-7.28488014362519
Q9BZK7,-11.0386440848,-3.51434087601027
Q8TF61,-23.2534966642115,-5.95874872145939
A6NGN9,-16.9610520743253,-4.64707561004149
Q99848,-23.2534966642115,-5.46509433175159
Q99805,-6.12357395798424,-4.24795944366838
A5PKW4,-13.1823974077712,-1.49854904666206
Q92643,-13.3296180438508,-5.01863073715377
