PG.ProteinGroups,P0,P50,P150,P300,P300_24
Q13569,-7.89647689434212,-3.05544939525042,-2.88834468407785,-2.25780813519567,-2.8920311128011
Q9C0I3,-1.32126581182036,-0.184042951435349,0.282224663372221,0.008977429734518,0.0091702845563739
Q02543,-8.7282766967875,-6.2691861527701,-5.3007381607053,-5.16504355842831,-5.63416094860284
Q9NRW7,-11.0805768301672,-4.63763407608256,-4.34573806251605,-4.14932770693567,-4.87723059592983
P16298,-23.2534966642115,-5.75997853601655,-4.95897681734835,-4.8836507226485,-5.61310690447489
Q96K37,-23.2534966642115,-4.75609735938157,-4.01875121053125,-4.13298037022512,-4.72152306735226
Q8WYK1,-13.8081327141966,-4.16642785788014,-3.43759695893676,-2.24155677059103,-3.40237269509389
Q6Y7W6,-18.9346744394985,-4.26804382572065,-3.7257246384683,-5.17286722121602,-4.89410908843334
O15068,-23.2534966642115,-4.5712108474654,-3.94796351642697,-3.21797569255357,-5.44398714746285
P16949,-9.88685348909747,-6.3464869959022,-6.07817961585135,-5.20403120159799,-7.74768709608657
Q15560,-13.8142750945819,-1.60901720130601,-2.21273198888244,-1.60620066957713,-1.8793554838337
O15213,-8.80911822654194,-5.70582667822006,-4.61744296165806,-4.27186800484244,-5.11074835343786
P31930,-8.89371182101399,-6.492744045564,-5.69162138182639,-5.55971836639836,-6.18641964732688
Q8N1G4,-23.2534966642115,-6.10784275102805,-4.92282917683293,-4.48674813496866,-6.05615755931401
P28799,-0.899061698155586,-0.471139818454352,-0.396061779948635,-0.0014535340747894,-0.0397931339860629
O94952,-13.0231428425885,-3.1225949369656,-4.50395614628223,-2.44128326915183,-4.13844450359129
Q9UKE5,-5.18723231879331,-3.24939161585197,-2.73842288766258,-2.75571226035654,-3.40319994792172
O75385,-15.2840301258122,-2.55944359202953,-2.90042424702994,-2.63419044676851,-2.42820219648813
P25705,-23.2534966642115,-7.29362044530272,-7.54025176771452,-4.88915496264624,-5.87550430013639
Q5JU85,-12.3093697799368,-1.54428110844711,-1.39119191823169,-2.1170674396996,-2.11622578080178
Q9NQG5,-23.2534966642115,-4.93502344028199,-3.91459007755966,-3.82748126198041,-4.31929551508055
Q6ZN54,-3.07223178342924,-1.7161228026263,-1.72966105690455,-1.378173877282,-0.784645853853242
Q99873,-10.5899900660451,-6.67080495410953,-5.30215246691939,-5.72307544362389,-6.78889393601736
P55011,-5.32885783522265,-4.11986484729148,-3.23083612307925,-4.16845494022766,-4.65128272519398
P43004,-13.6931424307388,-5.49459784888336,-7.91676817206014,-4.86706843897347,-5.00294829355344
Q12765,-23.2534966642115,-5.96612456270723,-4.77510586968542,-4.54651163491812,-5.5943731848452
O75093,-23.2534966642115,-4.09055666328423,-2.60675967525343,-2.86544815587022,-2.89210258004423
P35222,-16.7384716100062,-3.92935890397359,-3.55269813452813,-3.06299823801081,-3.88120903979111
P48730,-13.7939922287461,-3.03361659101551,-2.66627207716209,-2.54265717731188,-2.43442141285946
Q9H1V8,-3.23639570908415,-4.5057989398677,-2.15051640954169,-2.9788579976857,-2.97732882183385
Q99733,-11.1138488750582,-8.45766889390882,-7.96320918247836,-6.71963239940412,-7.4156740326476
Q96A35,-12.2126328686917,-5.81352360320248,-5.08524563052868,-4.67428551755189,-4.80257145074727
Q9Y5R8,1.1976840808168,1.70089871987579,1.69578775786437,1.8248634426609,1.94100211409634
Q9H4A3,-8.89440327343729,-4.66358047681996,-10.8187427434989,-4.11529475578969,-3.88277966719327
Q9Y2B0,-23.2534966642115,-7.19556778108081,-4.87424772399408,-5.84580282345904,-6.39265031294584
Q13492,-6.38052406697165,-4.71992992141183,-4.83460457125627,-4.67152694222044,-5.5769521273817
Q9NXG6,-12.9143731470392,-3.56968335343637,-5.45824595811714,-2.97675009378834,-3.5875588956871
Q52WX2,-23.2534966642115,-4.21469331526413,-3.722955741121,-2.53046440360626,-2.52601176273655
Q9P2K5,-13.2931739554523,-7.23093780665092,-8.07866579394149,-7.13821040430012,-7.39606037230295
Q6IS24,-2.3740989695004,-10.2683755946874,-14.6138237227479,-13.097463038721,-3.54304265391267
P60510,-12.7354007025035,-4.84827476713208,-3.89284035551142,-3.58701364968078,-4.39035633097716
Q6ZVC0,-4.29468610387911,-2.72108844708813,-2.86891491728083,-2.73646815628674,-2.74403456502388
Q9BU76,-1.83264803199586,4.3970662118319,4.14619894304854,3.64467877352839,-0.848715102325378
Q8NBI6,-23.2534966642115,-4.71357950455608,-3.6477367580695,-4.12737898429833,-4.12399119127281
Q96F07,-13.5487924189734,-7.17757208440889,-6.71085540306387,-6.10291849087592,-7.8967776549133
P84095,-15.0046131078705,-2.59546345195455,-2.65744899012676,-3.28621560367908,-3.60435195481595
O43920,-7.08865803570394,-5.64211546394079,-5.00966343435728,-4.4603159961917,-5.46601063729652
P61086,-8.20860895484912,-4.58008904719556,-4.24245815380206,-3.79726462556411,-5.23535814824041
Q495W5,1.68455496061846,-11.9969383681178,0.971543290673642,1.25539341077206,2.56246668812633
P42892,-23.2534966642115,-4.60424019462433,-2.74994298311079,-2.35362000808108,-2.4374436241254
Q8N0Z6,-13.0422125510662,-5.35031796398225,-5.44912872174825,-4.57814727151781,-5.0875943467716
Q15819,-7.96610583114313,-5.52404923112969,-5.03045555812364,-3.57085537350963,-4.25800804607451
Q9UBB9,-10.7719129001614,-4.52034208362,-4.16010564661619,-3.85357428283115,-4.77568062931559
Q5TGI0,-14.3341137335669,-4.45153551928811,-3.85073751148151,-3.55231120969864,-3.72447370028181
O43310,-9.31787667862286,-3.37368063134345,-2.8837541403885,-2.27444598164784,-2.91954714360581
Q719H9,-4.18205071795861,-2.64792812048605,-2.33241702558524,-2.11235042898267,-2.05754876110779
